text,intent
can you track my package for me,order_status
perfect thank you!,thanks
could you delivery status please,order_status
track my package please,order_status
could you product damaged please,complaint
please hi using chatbot,greeting
buy headphones,product_search
please delivery status,order_status
I need to where is my order today,order_status
weather today for me,weather_query
could you doctor appointment today,appointment_booking
I need to track my package,order_status
are you there!,greeting
could you schedule meeting now,appointment_booking
I need to complain today,complaint
thank you so much,thanks
where is my order now,order_status
catch you later please,goodbye
can you service is bad please,complaint
I have to go.,goodbye
can you book appointment for me,appointment_booking
hey!,greeting
can you service is bad for me,complaint
can you raining outside now,weather_query
can you hot today,weather_query
are you an AI assistant?,name_query
I need to cannot login,account_help
I need to show laptops,product_search
doctor appointment for me,appointment_booking
are you there.,greeting
could you show laptops,product_search
how are you.,greeting
could you track my package now,order_status
could you account help today,account_help
goodbye.,goodbye
thanks for information.,thanks
please doctor appointment today,appointment_booking
could you delivery status for me,order_status
can you order a burger for me,food_order
thanks a lot.,thanks
please tell me your name,name_query
please reset password now,account_help
what can I call you please,name_query
please book appointment today,appointment_booking
hot today please,weather_query
show laptops please,product_search
thanks for support.,thanks
can you find mobile phones,product_search
could you track my package today,order_status
perfect thank you please,thanks
could you schedule meeting for me,appointment_booking
could you reset password please,account_help
I need to cannot login now,account_help
can you I am ordering food please,food_order
please order shipped today,order_status
order pizza,food_order
could you complain,complaint
take care!,goodbye
nice to meet you.,greeting
I need to product damaged today,complaint
cannot login today,account_help
please product damaged today,complaint
I need to schedule meeting for me,appointment_booking
refund my payment for me,payment_issue
can you search smart watches for me,product_search
please hi with support,greeting
please doctor appointment for me,appointment_booking
good afternoon!,greeting
hey.,greeting
please raining outside now,weather_query
find mobile phones now,product_search
please not satisfied now,complaint
please hi,greeting
I need to refund my payment please,payment_issue
book appointment now,appointment_booking
can you order pizza now,food_order
get biryani please,food_order
I need to search smart watches please,product_search
what are you called please,name_query
please schedule meeting please,appointment_booking
please delivery status today,order_status
end chat.,goodbye
can you payment not going through please,payment_issue
can you payment not going through today,payment_issue
could you forgot my password now,account_help
get biryani now,food_order
who are you?,name_query
please perfect thank you,thanks
not satisfied please,complaint
you are helpful.,thanks
I need to rain tomorrow please,weather_query
can you order shipped today,order_status
please that helped me,thanks
forgot my password for me,account_help
I need to get biryani today,food_order
please thanks bye,goodbye
service is bad for me,complaint
show laptops now,product_search
service is bad please,complaint
reserve table today,appointment_booking
thanks dear please,thanks
track my package now,order_status
I need to raining outside for me,weather_query
where is my order for me,order_status
could you find mobile phones please,product_search
please how are you,greeting
cannot login for me,account_help
can you buy headphones please,product_search
I need to charged twice now,payment_issue
I need to payment failed now,payment_issue
can you reset password now,account_help
please what can I call you,name_query
can you cannot login now,account_help
please cannot login today,account_help
thanks please,thanks
I need to get biryani for me,food_order
good morning.,greeting
please charged twice for me,payment_issue
I need to reset password now,account_help
quick reply thanks!,thanks
please I am ordering food please,food_order
talk to you later.,goodbye
can you service is bad today,complaint
please hey buddy,greeting
grateful!,thanks
I need to not satisfied today,complaint
can you get biryani please,food_order
could you show laptops please,product_search
who am I talking to please,name_query
I need to delivery status,order_status
please get biryani now,food_order
can you reserve table,appointment_booking
please reserve table for me,appointment_booking
okay thanks!,thanks
bye for now,goodbye
could you complain now,complaint
please hot today today,weather_query
where is my order please,order_status
can you weather today for me,weather_query
good afternoon.,greeting
thank you!,thanks
I need to order a burger please,food_order
can you tell me about yourself,name_query
thanks,thanks
find mobile phones please,product_search
please reserve table,appointment_booking
product damaged please,complaint
I need to raining outside today,weather_query
hot today for me,weather_query
appreciate your help,thanks
could you rain tomorrow for me,weather_query
could you product damaged for me,complaint
please forgot my password,account_help
I need to payment failed for me,payment_issue
can you doctor appointment today,appointment_booking
can you refund my payment,payment_issue
I need to weather today,weather_query
please bye for now,goodbye
I need to account help now,account_help
can you delivery status now,order_status
please cannot login,account_help
I want to hi immediately,greeting
delivery status for me,order_status
hey buddy please,greeting
forgot my password now,account_help
cannot login please,account_help
could you find mobile phones for me,product_search
could you hot today,weather_query
