text,sentiment
need to leave now.. tweet laters,neutral
 I don`t get as much time here either. It`s going to get worse now that the girls r home for summer.  It stinks.,negative
"Jeff can`t get his visa in time to come visit me!    I`m so sad.  In other news, I`m going to Lapa tonight to samba the night away.",negative
Great for organization. I love the color scheme and wide access. Works great with reminders and has a good set up👍🏻,positive
First time to Twitter..,neutral
" I know it`s in HD, but Comcast doesn`t have it.",neutral
" It`s ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all",negative
 bored,neutral
"I go to 'User Experience Roundtable Hamburg - Detlev Fischer on Accessibility, BITV Test' https://www.xing.com/events/333622 Don`t miss!",neutral
" well if you`re ever headed back to the west coast, hit me up. I have a tiny place, but we can hack and hang out at the beach",positive
Varsity Fanclub will never be the same!!,neutral
I am a big fan of Danny Dyer I have to say this movie looks awesome  http://snurl.com/hpwnz,positive
Today is Will`s first baseball game!  GO BATS!,neutral
" http://twitpic.com/4jam0 - Ohhh, how lovely! I`m glad that you had a great time there.",positive
http://bit.ly/147HEU  - don`t judge me. tucking myself in tonight  mogwai on repeat,neutral
 what about Your Body by Tom Novy or Voodoo Child by Rogue Traders. They are from 04/05. Good memories from these songs,positive
It would be better if there is an option in which we are able to check whether we really followed time table or not .,neutral
I`m really full and I feel sick,negative
 - Welcome to Minnesoooooooota. Free up some time this trip to catch up! Won`t be at Cliquot Club though; they closed,neutral
Just banged my bloody foot! ow,negative
: You MUST watch Grey`s. It was their 100th episode. Let me know once you do. I don`t want to give out any more details,neutral
hopes whoever stole my purse and money gets what is coming to them,positive
Santana - Maria Maria (The Wraith)  ? http://blip.fm/~7a10a,neutral
being LAME and not in deland with his favorite people,negative
"trying to learn for my oral exam, but I`m too distracted",negative
"When Microsoft announced they were killing Wunderlist, my expectations for the New Thing were soooo low. But they did a great job! It has all the familiar featues plus some new ones like subtasks, and the user experience is pretty solid! Importing was easy. Great job! The one negative is Microsoft's strongheaded wrong assumption that everyone wants ""one Microsoft account for everything."" Please preserve the ability to create different accounts for different purposes!",positive
 now you`re scaring me.... can`t you just be mad? Don`t jip the world of your presence,negative
"JUST PURCHASED MONTHLY SUBSCRIPTION. UNTIL NOW, MY APP IS NOT WORKING AS A FULL VERSION.",negative
